                                                    Pradiniai duomenys
------------------------------------------------------------------------------------------------------------------------
                  Gamintojas |            Pagaminimo metai |                        Rida |            Filtravimo numeris
------------------------------------------------------------------------------------------------------------------------
                     Porsche |                        2010 |               146427.387000 |                      514229 |
                   Chevrolet |                        2010 |                35566.921000 |                          13 |
               Mercedes-Benz |                        2012 |               344558.191000 |                      514229 |
                   Chevrolet |                        2017 |                51082.695000 |                          55 |
                   Chevrolet |                        2015 |               371087.911000 |                     5702887 |
                      Nissan |                        2013 |               268429.671000 |                         377 |
                         GMC |                        2014 |                30682.691000 |                           8 |
                         GMC |                        2013 |               148959.071000 |                      832040 |
                       Honda |                        2017 |               280252.419000 |                         987 |
                  Mitsubishi |                        2017 |               229623.528000 |                           8 |
                        Ford |                        2015 |               294886.065000 |                        4181 |
                   Chevrolet |                        2016 |               276393.984000 |                         610 |
                         GMC |                        2018 |               349375.582000 |                      832040 |
                         GMC |                        2016 |               182622.894000 |                    14930352 |
                 Rolls-Royce |                        2011 |               227100.405000 |                           5 |
                       Mazda |                        2019 |               260200.465000 |                         144 |
                    Maserati |                        2019 |               195228.309000 |                    63245986 |
                        Ford |                        2019 |               237723.529000 |                          13 |
                  Land Rover |                        2019 |                91760.488000 |                        2584 |
                     Pontiac |                        2015 |               114190.696000 |                       28657 |
                       Volvo |                        2011 |               413319.307000 |                           2 |
                   Chevrolet |                        2013 |               195929.932000 |                    63245986 |
                       Mazda |                        2012 |               300975.000000 |                        6765 |
                       Mazda |                        2015 |               217811.844000 |                           2 |
                     Lincoln |                        2017 |               419579.661000 |                           3 |
                      Saturn |                        2014 |                24640.136000 |                           5 |
                       Mazda |                        2013 |               336965.662000 |                      196418 |
                        Ford |                        2019 |               253777.843000 |                          89 |
                     Hyundai |                        2010 |               474354.376000 |                         610 |
                         BMW |                        2017 |               307232.035000 |                       10946 |
                       Dodge |                        2018 |                10515.401000 |                           1 |
               Mercedes-Benz |                        2017 |               440400.025000 |                          21 |
                       Volvo |                        2013 |                90485.335000 |                        2584 |
                        Ford |                        2013 |               358739.481000 |                     2178309 |
                  Volkswagen |                        2010 |               380678.708000 |                    14930352 |
                       Mazda |                        2016 |               357117.877000 |                     1346269 |
                  Land Rover |                        2010 |               392244.148000 |                    39088169 |
                        Ford |                        2016 |               121759.182000 |                       46368 |
                       Lexus |                        2012 |               241113.034000 |                          21 |
                    Infiniti |                        2010 |               432056.845000 |                           8 |
                  Mitsubishi |                        2013 |               437427.235000 |                          13 |
                        Audi |                        2014 |               383976.067000 |                    24157817 |
                    Chrysler |                        2018 |               441560.683000 |                          21 |
                      Toyota |                        2016 |               332894.320000 |                      121393 |
                      Suzuki |                        2013 |               316755.367000 |                       28657 |
                  Volkswagen |                        2017 |               311942.994000 |                       17711 |
                   Chevrolet |                        2010 |                45750.560000 |                          34 |
                      Toyota |                        2014 |                72495.528000 |                         377 |
