                                                   Pradiniai duomenys:
------------------------------------------------------------------------------------------------------------------------
                  Gamintojas |            Pagaminimo metai |                        Rida |            Filtravimo numeris
------------------------------------------------------------------------------------------------------------------------
                  Volkswagen |                        2010 |               380678.708000 |                           0 |
                  Volkswagen |                        2010 |               380678.708000 |                           0 |
                        Ford |                        2011 |               117277.071000 |                           0 |
                       Acura |                        2018 |               116629.155000 |                           0 |
                       Acura |                        2018 |               116629.155000 |                           0 |
                         GMC |                        2018 |               349375.582000 |                           1 |
                       Honda |                        2017 |               280252.419000 |                           1 |
                        Ford |                        2015 |               294886.065000 |                           1 |
                         GMC |                        2018 |               349375.582000 |                           1 |
                       Lexus |                        2012 |               241113.034000 |                           1 |
                       Dodge |                        2016 |               142091.273000 |                           2 |
                        Ford |                        2016 |               121759.182000 |                           2 |
                      Toyota |                        2019 |               469215.478000 |                           3 |
                  Land Rover |                        2010 |               392244.148000 |                           3 |
                     Pontiac |                        2015 |               114190.696000 |                           5 |
               Mercedes-Benz |                        2013 |               191487.438000 |                           5 |
                      Suzuki |                        2019 |               116579.963000 |                          13 |
                  Mitsubishi |                        2013 |               437427.235000 |                          34 |
                         BMW |                        2018 |               246787.586000 |                          34 |
               Mercedes-Benz |                        2012 |               344558.191000 |                          89 |
                         GMC |                        2014 |                30682.691000 |                          89 |
                      Toyota |                        2018 |               299553.712000 |                          89 |
                    Plymouth |                        2016 |                28847.500000 |                          89 |
                   Chevrolet |                        2016 |               276393.984000 |                         144 |
                        Ford |                        2019 |               253777.843000 |                         144 |
                        Ford |                        2019 |               253777.843000 |                         144 |
                        Audi |                        2016 |                83773.019000 |                         144 |
                     Pontiac |                        2017 |               443275.115000 |                         144 |
                        Ford |                        2010 |               466663.260000 |                         233 |
                  Volkswagen |                        2017 |               311942.994000 |                         233 |
                        Ford |                        2010 |               466663.260000 |                         233 |
                        Audi |                        2014 |               383976.067000 |                         233 |
                      Nissan |                        2017 |               343642.027000 |                         233 |
                     Bentley |                        2016 |               432461.947000 |                         233 |
                     Bentley |                        2016 |               432461.947000 |                         233 |
                       Mazda |                        2012 |               300975.000000 |                         377 |
